bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Joseph Akhavan,Mabel (Paris),Aboukir punch,60ml Tawny Port infused with pandan,15ml Doorly’s 5 year old Rum,30ml pomelo and cardamon sherbet,3 dashes teapot bitters,NA,NA,NA,NA,NA
Joseph Hall,Satans Whiskers (London),Tuxedo #2,50ml of Tanqueray Gin,25ml of Noilly Prat Dry Vermouth,5ml of Maraschino Liqueur,2 dashes of Orange Bitters,1 dash of Absinthe,NA,NA,NA,NA
Joseph Hall,Satans Whiskers (London),The Yellow Bird,35ml of Bacardi 8,35ml of Pineapple Juice,15ml of Lime and Sugar,5ml of Apricot Liqueur,5ml of Vanilla Liqueur,A chunk of Banana,NA,NA,NA
Josh Joyce,FARE (London),Ward 8,2 Oranges Slices,15ml of Lemon Juice,15ml of Simple Syrup,5ml of Grenadine,45ml of Bourbon Whiskey,​,NA,NA,NA
Josh Joyce,FARE (London),Straight Flush,2 Small Strawberries,15ml of Lemon Juice,20ml of Simple Syrup,15ml of Aperol,15ml of Pink Grapefruit Juice,40ml of VSOP Cognac,NA,NA,NA
Juan Yijun,Operation Dagger (Singapore),Bee Pollen Refashioned,30ml of House Blend Rye Whiskey,30ml of House Blend Bourbon,10ml of Gum Syrup,10g of Bee Pollen Granules,1 dash of Abbots House Bitters,1 dash of Angostura Bitters,NA,NA,NA
Juan Yijun,Operation Dagger (Singapore),Hot and Cold,30ml of infused Pineapple and Lavender Tequila,20ml of Agave Nectar,3 wedges of Pineapple,2 wedges of Lime,White Chocolate and Coconut Foam,NA,NA,NA,NA
Julius Yates,Lobo Plantation (Sydney),Agricole Saserac,20ml of Rum,20ml of Rye,20ml of homemade Rosso Vermouth,10ml of Benedictine,2 dashes of peychaud bitters,2 dashes of angostura bitters,Glass rinse with absinthe,NA,NA
Julius Yates,Lobo Plantation (Sydney),The Shipwreck,30ml of spiced rum,45ml of grapefruit and pineaple juice,30ml of lemon juice,20ml of homemade Spice pineapple syrup,15ml of passionfruit,15ml of spice overproof rum,NA,NA,NA
Keila Urzaiz de Calignon,Artesian Bar (London),Expresso Martini,45ml of Greygoose Vodka infused with Half Roasted Coffee Bean,15ml of Green Coffee Syrup,20ml of Cold Brue Coffee,20ml of Martini Ambrato,NA,NA,NA,NA,NA
